"log_date","gc_code","cache_name","cache_url","log_url","checker_status","checker_example_log"
"","GC30FY8","Jac0bnuts...Size Does Matter Challenge","https://www.geocaching.com/geocache/GC30FY8","https://www.geocaching.com/live/log/GL1G71AG7","Write Note + Found It","User 'SummittDweller' already has a Found It log on this cache."
"","GC30H9E","Distance to Finds Challenge","https://www.geocaching.com/geocache/GC30H9E","https://www.geocaching.com/live/log/GL1G71ABT","Write Note + Found It","User 'SummittDweller' already has a Found It log on this cache."
"","GC30K2Y","Well Travelled Cacher Challenge - Iowa","https://www.geocaching.com/geocache/GC30K2Y","https://www.geocaching.com/live/log/GL1G71A98","Write Note + Found It","User 'SummittDweller' already has a Found It log on this cache."
"","GC3AEQ2","Million Miles Challenge","https://www.geocaching.com/geocache/GC3AEQ2","https://www.geocaching.com/live/log/GL1G71A60","Write Note + Found It","User 'SummittDweller' already has a Found It log on this cache."
"","GC3AF0K","Four Point Challenge","https://www.geocaching.com/geocache/GC3AF0K","https://www.geocaching.com/live/log/GL1G71A51","Write Note + Found It","User 'SummittDweller' already has a Found It log on this cache."
"","GC3ATNN","Star Chaser Trophy Challenge","https://www.geocaching.com/geocache/GC3ATNN","https://www.geocaching.com/live/log/GL1G71A4F","Write Note + Found It","User 'SummittDweller' already has a Found It log on this cache."
"","GC3BAEQ","Collaboration Challenge","https://www.geocaching.com/geocache/GC3BAEQ","https://www.geocaching.com/live/log/GL1G71A3X","Write Note + Found It","User 'SummittDweller' already has a Found It log on this cache."
"","GC3BAJ6","100 x 10 State Challenge","https://www.geocaching.com/geocache/GC3BAJ6","https://www.geocaching.com/live/log/GL1G719XQ","Write Note + Found It","User 'SummittDweller' already has a Found It log on this cache."
"","GC3BAN0","10 x 10k Social Challenge","https://www.geocaching.com/geocache/GC3BAN0","https://www.geocaching.com/live/log/GL1G719X4","Write Note + Found It","User 'SummittDweller' already has a Found It log on this cache."
"","GC3CEJQ","Iowa Lonely Cache Challenge","https://www.geocaching.com/geocache/GC3CEJQ","https://www.geocaching.com/live/log/GL1G719R2","Write Note + Found It","User 'SummittDweller' already has a Found It log on this cache."
"","GC3VGHA","Streakin' On......Challenge+Cache","https://www.geocaching.com/geocache/GC3VGHA","https://www.geocaching.com/live/log/GL1G6PNYH","Write Note + Found It","User 'SummittDweller' already has a Found It log on this cache."
"","GCA3CJ7","Caching to the Moon Challenge 🚀","https://www.geocaching.com/geocache/GCA3CJ7","https://www.geocaching.com/live/log/GL1G0MGQP","Write Note + Found It","User 'SummittDweller' already has a Found It log on this cache."
"","GCA3CJF","Jasmer AND Fizzy Challenge","https://www.geocaching.com/geocache/GCA3CJF","https://www.geocaching.com/live/log/GL1G0MC8H","Write Note + Found It","User 'SummittDweller' already has a Found It log on this cache."
"","GCA3DGD","Alabama High Point Challenge","https://www.geocaching.com/geocache/GCA3DGD","https://www.geocaching.com/live/log/GL1G0MBKC","Write Note + Found It","User 'SummittDweller' already has a Found It log on this cache."
"","GC1K275","Alabama Well Rounded Cacher (Fizzy Challenge)","https://www.geocaching.com/geocache/GC1K275","https://www.geocaching.com/live/log/GL1G0G3HC","Write Note + Found It","User 'SummittDweller' already has a Found It log on this cache."
"","GC5654Z","Counties Challenge: Border-to-Border","https://www.geocaching.com/geocache/GC5654Z","https://www.geocaching.com/live/log/GL1FCH26H","Write Note + Found It","User 'SummittDweller' already has a Found It log on this cache."
"","GCBBG5G","NoDak Roads Less Traveled Challenge - 30 Counties","https://www.geocaching.com/geocache/GCBBG5G","https://www.geocaching.com/live/log/GL1FC1N36","Write Note + Found It","User 'SummittDweller' already has a Found It log on this cache."
"","GCAE5KB","Gilby Challenge Series: Full Calendar! 🗓️","https://www.geocaching.com/geocache/GCAE5KB","https://www.geocaching.com/live/log/GL1FC0546","Write Note + Found It","User 'SummittDweller' already has a Found It log on this cache."
"","GC9MXEW","Galena County Challenge","https://www.geocaching.com/geocache/GC9MXEW","https://www.geocaching.com/live/log/GL194R3ZM","Write Note + Found It","User 'SummittDweller' already has a Found It log on this cache."
"","GC7T5BA","Oldest in 10 States Challenge","https://www.geocaching.com/geocache/GC7T5BA","https://www.geocaching.com/live/log/GL184RYJT","Write Note + Found It","User 'SummittDweller' already has a Found It log on this cache."
